"","Entity","Code","Year","num_objects","cum_num_objects"
"182","Germany","DEU",1992,1,21
"183","India","IND",1992,2,18
"184","Italy","ITA",1992,1,9
"185","Japan","JPN",1992,4,58
"186","Russia","RUS",1992,78,2838
"187","United States","USA",1992,28,1249
"188","China","CHN",1993,1,36
"189","France","FRA",1993,3,36
"190","Germany","DEU",1993,1,22
"191","India","IND",1993,1,19
"192","Italy","ITA",1993,2,11
"193","Japan","JPN",1993,1,59
"194","Russia","RUS",1993,59,2897
"195","United States","USA",1993,31,1280
"196","China","CHN",1994,5,41
"197","Germany","DEU",1994,3,25
"198","India","IND",1994,2,21
"199","Japan","JPN",1994,4,63
"200","Russia","RUS",1994,64,2961
"201","United Kingdom","GBR",1994,2,29
"202","United States","USA",1994,35,1315
"203","Canada","CAN",1995,1,20
"204","China","CHN",1995,1,42
"205","France","FRA",1995,3,39
"206","Germany","DEU",1995,2,27
"207","India","IND",1995,2,23
"208","Japan","JPN",1995,4,67
"209","Russia","RUS",1995,36,2997
"210","United States","USA",1995,40,1355
"211","Canada","CAN",1996,1,21
"212","China","CHN",1996,3,45
"213","France","FRA",1996,1,40
"214","Germany","DEU",1996,1,28
"215","India","IND",1996,1,24
"216","Italy","ITA",1996,2,13
"217","Japan","JPN",1996,3,70
"218","Russia","RUS",1996,28,3025
"219","United States","USA",1996,41,1396
"220","China","CHN",1997,7,52
"221","Germany","DEU",1997,2,30
"222","India","IND",1997,2,26
"223","Japan","JPN",1997,7,77
"224","Russia","RUS",1997,28,3053
"225","United States","USA",1997,88,1484
"226","China","CHN",1998,10,62
"227","France","FRA",1998,1,41
"228","Germany","DEU",1998,3,33
"229","Japan","JPN",1998,3,80
"230","Russia","RUS",1998,27,3080
"231","United Kingdom","GBR",1998,1,30
"232","United States","USA",1998,91,1575
"233","Canada","CAN",1999,1,22
"234","China","CHN",1999,11,73
"235","France","FRA",1999,2,43
"236","Germany","DEU",1999,2,35
"237","India","IND",1999,2,28
"238","Italy","ITA",1999,1,14
"239","Japan","JPN",1999,1,81
"240","Russia","RUS",1999,15,3095
"241","United Kingdom","GBR",1999,2,32
"242","United States","USA",1999,80,1655
"243","Canada","CAN",2000,1,23
"244","China","CHN",2000,6,79
"245","Germany","DEU",2000,3,38
"246","India","IND",2000,1,29
"247","Italy","ITA",2000,3,17
"248","Japan","JPN",2000,3,84
"249","Russia","RUS",2000,23,3118
"250","United Kingdom","GBR",2000,4,36
"251","United States","USA",2000,56,1711
"252","Canada","CAN",2001,1,24
"253","China","CHN",2001,2,81
"254","France","FRA",2001,1,44
"255","Germany","DEU",2001,1,39
"256","India","IND",2001,2,31
"257","Italy","ITA",2001,1,18
"258","Japan","JPN",2001,4,88
"259","Russia","RUS",2001,30,3148
"260","United Kingdom","GBR",2001,1,37
"261","United States","USA",2001,34,1745
"262","Canada","CAN",2002,2,26
"263","China","CHN",2002,7,88
"264","France","FRA",2002,3,47
"265","Germany","DEU",2002,5,44
"266","India","IND",2002,2,33
"267","Italy","ITA",2002,1,19
"268","Japan","JPN",2002,10,98
"269","Russia","RUS",2002,19,3167
"270","United States","USA",2002,33,1778
"271","Canada","CAN",2003,3,29
"272","China","CHN",2003,9,97
"273","India","IND",2003,4,37
"274","Japan","JPN",2003,7,105
"275","Russia","RUS",2003,22,3189
"276","United Kingdom","GBR",2003,1,38
"277","United States","USA",2003,28,1806
"278","Canada","CAN",2004,1,30
"279","China","CHN",2004,11,108
"280","France","FRA",2004,7,54
"281","India","IND",2004,1,38
"282","Italy","ITA",2004,1,20
"283","Japan","JPN",2004,2,107
"284","Russia","RUS",2004,19,3208
"285","United States","USA",2004,21,1827
"286","Canada","CAN",2005,1,31
"287","China","CHN",2005,7,115
"288","France","FRA",2005,1,55
"289","Germany","DEU",2005,1,45
"290","India","IND",2005,3,41
"291","Japan","JPN",2005,5,112
"292","Russia","RUS",2005,19,3227
"293","United Kingdom","GBR",2005,3,41
"294","United States","USA",2005,21,1848
"295","China","CHN",2006,13,128
"296","France","FRA",2006,3,58
"297","Germany","DEU",2006,1,46
"298","Japan","JPN",2006,11,123
"299","Russia","RUS",2006,16,3243
"300","United States","USA",2006,36,1884
"301","Canada","CAN",2007,2,33
"302","China","CHN",2007,10,138
"303","Germany","DEU",2007,3,49
"304","India","IND",2007,5,46
"305","Italy","ITA",2007,3,23
"306","Japan","JPN",2007,6,129
"307","Russia","RUS",2007,18,3261
"308","United Kingdom","GBR",2007,2,43
"309","United States","USA",2007,46,1930
"310","Canada","CAN",2008,5,38
"311","China","CHN",2008,17,155
"312","France","FRA",2008,1,59
"313","Germany","DEU",2008,9,58
"314","India","IND",2008,4,50
"315","Italy","ITA",2008,1,24
"316","Japan","JPN",2008,6,135
"317","Russia","RUS",2008,21,3282
"318","United Kingdom","GBR",2008,3,46
"319","United States","USA",2008,24,1954
"320","Canada","CAN",2009,2,40
"321","China","CHN",2009,8,163
"322","France","FRA",2009,3,62
"323","Germany","DEU",2009,4,62
"324","India","IND",2009,4,54
"325","Italy","ITA",2009,1,25
"326","Japan","JPN",2009,12,147
"327","Russia","RUS",2009,30,3312
"328","United Kingdom","GBR",2009,3,49
"329","United States","USA",2009,38,1992
"330","China","CHN",2010,20,183
"331","France","FRA",2010,9,71
"332","Germany","DEU",2010,2,64
"333","India","IND",2010,2,56
"334","Italy","ITA",2010,1,26
"335","Japan","JPN",2010,9,156
"336","Russia","RUS",2010,24,3336
"337","United Kingdom","GBR",2010,3,52
"338","United States","USA",2010,35,2027
"339","Canada","CAN",2011,2,42
